IRASPSC,RA_IRAS,DEC_IRAS,ID_SIM,sample,JCMT,mapping,APEX,gp,flag,RA,DEC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,chem,DIST_BEST_TYPE,DIST_BEST,EDIST_BEST,GRAMS_lum_used,GRAMS_DPR_used,Lcom,dLcom,dLcom_D,MLRcom,dMLRcom,dMLRcom_D,HIP,Teff,Lum,Est. log(g),Av,errAv,XS_MIR,d,delta d / d,Data,Ndup(2-1),Ndup(3-2),F_cont,F_cont_per_beam,F_CO,F_CO_per_beam,JCMT CO(2-1) fitted peak,JCMT CO(2-1) fitted v_inf,JCMT CO(2-1) RMS 4km/s,JCMT 13CO(2-1) fitted peak,JCMT 13CO(2-1) fitted v_inf,JCMT 13CO(2-1) RMS 4km/s,JCMT CO(3-2) fitted peak,JCMT CO(3-2) fitted v_inf,JCMT CO(3-2) RMS 4km/s,JCMT 13CO(3-2) fitted peak,JCMT 13CO(3-2) fitted v_inf,JCMT 13CO(3-2) RMS 4km/s,Alma ACA CO(2-1),Alma ACA CO(3-2),de Beck CO(2-1),de Beck CO(2-1) Telescope,de Beck CO(3-2) uncertainty,de Beck CO(3-2) Telescope
IRAS 01037+1219,16.6079,12.5983,IRC +10011,high,1,0,0,0,--,01 06 25.984,+12 35 53.05,0.14,0.11,0,B,N,2003yCat.2246....0C,O,LUM,0.451967,nan,3850.02,7.3652e-08,,,,,,,,,,,,,,,,,2,0,8.04966,0.00894407,3202.49,3.55832,1.3,18.74,0.034,0.21,18.0,0.023,1.62,19.25,0.019,0.28,17.98,0.047,True,True,2.29,JCMT,2.98,JCMT
IRAS 18349+1023,279.331,10.4282,V* V1111 Oph,high,1,0,0,0,--,18 37 19.26,+10 25 42.2,0.29,0.29,90,B,I,2003yCat.2246....0C,O,LUM,0.498099,nan,4472.14,2.05477e-08,,,,,,,,,,,,,,,,,0,0,4.1674,0.00463045,569.855,0.633173,0.79,15.56,0.009,0.08,16.1,0.009,1.25,17.14,0.044,0.11,15.37,0.04,True,True,-99.0,--,-99.0,--
IRAS 18397+1738,280.479,17.6854,V* V821 Her,high,1,0,0,0,--,18 41 54.550,+17 41 08.52,0.019,0.018,0,B,O,2003yCat.1289....0Z,C,LUM,0.614759,nan,6456.54,6.24015e-09,,,,,,,,,,,,,,,,,0,0,30.4942,0.0338825,89.5167,0.099463,1.93,13.78,0.016,0.16,13.48,0.012,2.32,13.91,0.03,-99.0,-99.0,-99.0,True,True,4.52,IRAM,2.93,APEX
IRAS 18560-2954,284.809,-29.8393,V* V3953 Sgr,high,1,0,0,0,--,18 59 13.851,-29 50 20.44,0.087,0.049,90,B,O,2012yCat.1322....0Z,O,LUM,0.508114,nan,8141.81,1.96387e-08,,,,,,,,,,,,,,,,,0,0,3.11138,0.00345709,518.672,0.576302,1.19,17.67,0.026,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,True,True,-99.0,--,-99.0,--
IRAS 19550-0201,299.399,-1.88693,V* RR Aql,high,1,0,0,0,--,19 57 36.0597,-01 53 11.338,0.039,0.028,90,A,O,2007A&A...474..653V,O,MASER,0.633,0.171,7009.22,7.72959e-09,,,,,,,,,,,,,,,,,0,0,2.0299,0.00225544,109.159,0.121288,0.71,8.11,0.019,0.12,4.49,0.031,1.22,8.22,0.02,-99.0,-99.0,-99.0,True,True,-99.0,--,-99.0,--
IRAS 20077-0625,302.614,-6.27103,V* V1300 Aql,high,1,0,0,0,--,20 10 27.874,-06 16 13.58,0.12,0.11,97,B,I,2003yCat.2246....0C,O,LUM,0.431161,nan,4819.93,6.04411e-08,,,,,,,,,,,,,,,,,0,0,6.92079,0.00768977,2775.88,3.08431,1.19,15.06,0.018,0.18,14.95,0.035,1.2,15.19,0.043,0.3,15.57,0.028,True,True,-99.0,--,1.91,APEX
IRAS 23166+1655,349.799,17.1912,RAFGL 3068,high,1,0,0,0,--,23 19 12.607,+17 11 33.13,0.09,0.09,90,B,I,2003yCat.2246....0C,C,LUM,0.58971,nan,3388.44,4.2185e-08,,,,,,,,,,,,,,,,,0,0,94.3119,0.104791,963.813,1.0709,2.45,14.68,0.016,0.34,14.1,0.018,3.08,14.15,0.014,nan,0.0,nan,True,True,6.45,IRAM,4.5,APEX
IRAS 05028+0106,76.3481,1.17779,V* W Ori,intermediate,1,0,0,0,--,05 05 23.7214,+01 10 39.451,0.011,0.007,90,A,O,2007A&A...474..653V,C,LUM,0.346786,nan,8128.31,1.59323e-10,,,,,,,,,,,,,,,,,0,0,6.48963,0.00721071,3.44898,0.0038322,0.3,10.32,0.009,nan,0.0,0.019,0.77,10.11,0.026,nan,0.0,nan,True,True,-99.0,--,-99.0,--
IRAS 09448+1139,146.889,11.4291,V* R Leo,intermediate,1,1,0,0,--,09 47 33.4879,+11 25 43.665,0.02,0.009,90,A,O,2007A&A...474..653V,O,LUM,0.141718,nan,6503.45,1.43748e-09,2110.0,160.0,810.0,2.61e-09,1.1e-09,1.2e-09,48036,2412,1725.14,-0.39704,0.8658000231,0.1408959925,1.56686,71.2758,0.188881,H,0,0,23.9549,0.0266165,289.302,0.321447,0.79,6.34,0.027,0.05,7.23,0.022,2.56,6.06,0.057,0.16,6.97,0.045,True,True,2.19,IRAM,2.99,APEX
IRAS 10580-1803,165.14,-18.3243,V* R Crt,intermediate,1,1,0,0,--,11 00 33.8528,-18 19 29.580,0.007,0.007,53,A,O,2007A&A...474..653V,O,HIP,0.2611,0.065275,8774.99,2.31683e-09,8770.0,320.0,4400.0,2.32e-09,2e-10,6.1e-10,53809,2180,8140.68,-0.855864,0.310725987,0.0055537,1.73471,261.097,0.248042,H,0,0,15.4606,0.0171785,151.126,0.167918,0.77,10,0.02,0.03,8.93,0.013,1.33,10.52,0.011,-99.0,-99.0,-99.0,True,True,-99.0,--,-99.0,--
