IRASPSC,RA_IRAS,DEC_IRAS,ID_SIM,sample,JCMT,mapping,APEX,gp,flag,RA,DEC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,chem,DIST_BEST_TYPE,DIST_BEST,EDIST_BEST,GRAMS_lum_used,GRAMS_DPR_used,Lcom,dLcom,dLcom_D,MLRcom,dMLRcom,dMLRcom_D,HIP,Teff,Lum,Est. log(g),Av,errAv,XS_MIR,d,delta d / d,Data,Ndup(2-1),Ndup(3-2),F_cont,F_cont_per_beam,F_CO,F_CO_per_beam
"IRAS 01304+6211",23.460800,62.446400,"V* V669 Cas","extreme",0,0,0,1,"--",1.0000000,62.000000,0.090000000,0.080000000,97,"B","I",2003.0000,"O","LUM",0.88466900,"nan",3572.2200,2.5266200e-07,"","","","","","",0,0,0,0,0,0,0,0,0,"",0,0,8.1957000,0.0091063300,3669.1600,4.0768400
"IRAS 03149+3244",49.519800,32.921900,"BD+32 599","extreme",1,0,0,0,"--",3.0000000,32.000000,0.042000000,0.039000000,0,"B","",1998.0000,"O","LUM",2.4071900,"nan",3850.0200,1.0291200e-07,"","","","","","",0,0,0,0,0,0,0,0,0,"",0,0,0.39134400,0.00043482600,168.66200,0.18740300
"IRAS 03206+6521",51.285600,65.534800,"OH 138.0 +7.2","extreme",1,0,0,0,"--",3.0000000,65.000000,0.10000000,0.080000000,90,"B","N",2003.0000,"O","MASER",2.2000000,"0.44",5598.7700,5.1716500e-07,"","","","","","",0,0,0,0,0,0,0,0,0,"",0,0,5.1674900,0.0057416500,1401.4900,1.5572100
"IRAS 04395+3601",70.723600,36.114600,"RAFGL 618","extreme",1,0,0,0,"--",4.0000000,36.000000,0.080000000,0.070000000,0,"B","I",2003.0000,"O","LUM",0.63773700,"nan",7009.2200,5.2945000e-07,"","","","","","",0,0,0,0,0,0,0,0,0,"",0,14,30.755900,0.034173300,17154.800,19.060900
"IRAS 05073+5248",77.831000,52.876000,"V* NV Aur","extreme",1,0,0,0,"--",5.0000000,52.000000,0.070000000,0.070000000,90,"B","I",2003.0000,"O","LUM",0.98532300,"nan",5598.7700,1.0725300e-07,"","","","","","",0,0,0,0,0,0,0,0,0,"",0,0,3.9815600,0.0044239600,1057.8300,1.1753600
"IRAS 05251-1244",81.868000,-12.697500,"IC 418","extreme",1,0,0,0,"--",5.0000000,-12.000000,0.023000000,0.022000000,90,"B","",1998.0000,"O","LUM",1.9429400,"nan",8774.9900,1.3807000e-06,"","","","","","",0,0,0,0,0,0,0,0,0,"",0,0,24.325600,0.027028400,5838.2200,6.4869100
"IRAS 05389-6908",84.652700,-69.108100,"IRAS 05389-6908","extreme",0,0,1,0,"--",5.0000000,-69.000000,14.000000,4.0000000,10,"E","M",1988.0000,"O","LUM",1.3987600,"nan",3314.4500,3.8923300e-07,"","","","","","",0,0,0,0,0,0,0,0,0,"",0,0,3.4682600,0.0038536300,2465.1600,2.7390700
"IRAS 05401-6940",84.929700,-69.645900,"IRAS 05401-6940","extreme",0,0,1,0,"--",5.0000000,-69.000000,12.000000,4.0000000,12,"E","M",1988.0000,"O","LUM",1.8092600,"nan",2853.3900,5.9049800e-07,"","","","","","",0,0,0,0,0,0,0,0,0,"",0,0,6.9367000,0.0077074500,2429.6300,2.6995900
"IRAS 05377+3548",85.285300,35.831900,"IRAS 05377+3548","extreme",1,0,0,0,"--",5.0000000,35.000000,0.50000000,0.50000000,90,"B","I",2003.0000,"O","LUM",1.7075400,"nan",2647.4900,1.9757300e-07,"","","","","","",0,0,0,0,0,0,0,0,0,"",2,0,2.3551300,0.0026168100,733.18100,0.81464600
"IRAS 05388-0147",85.349900,-1.7642300,"IRAS 05388-0147","extreme",1,0,0,0,"--",5.0000000,-1.0000000,0.0000000,0.0000000,0,"D","",2003.0000,"O","LUM",1.7137300,"nan",1251.9200,2.2375800e-07,"","","","","","",0,0,0,0,0,0,0,0,0,"",0,0,0.76073800,0.00084526400,845.14200,0.93904600
